119	Valitsussektori teenused	554000000	0
120	Kohalikele omavalitsustele	302827111	119
121	Maksu- ja tollipoliitika	43573727	119
122	Maksed pensioni II sambasse	79084274	119
123	Keskkonnainvesteeringute keskus	36306767	119
124	Muu	85301094	119
125	Riigikaitse	263000000	0
126	Kaitsevägi	150418963	125
127	Kaitseministeerium	79285192	125
128	Muu	33295845	125
129	Avalik kord ja julgeolek	318000000	0
130	Kriminaalpoliitika,  sh  vanglad	57402637	129
131	Kohtud	25466597	129
132	Sisejulgeolek,  sh Politsei ja piirivalve	184500000	129
134	Muu	50630766	129
135	Majandus	861000000	0
136	Ettevõtluse soodustamine	96208458	135
137	Elamumajandus ja ehitus	3544671	135
138	Infoühiskond	27247463	135
139	Ühistransport	67848668	135
140	Teed	321322543	135
141	Põllumajandus	311597951	135
142	Muu	33230246	135
143	Keskkonnakaitse	251000000	0
144	KOV vee- ja jäätmemajanduse investeeringud	8000000	143
145	Investeeringud energia tõhususse	25564658	143
146	Looduskaitse	11658779	143
147	Muu	205776563	143
148	Elamu ja kommunaalmajandus	4000000	0
149	Tervishoid	797000000	0
150	Haigekassa	711221607	149
151	Muu	85778393	149
152	Kultuur, sport	195000000	0
153	Kultuur	136319183	152
154	Sport	14747492	152
155	Muu	43933325	152
156	Haridus	697000000	0
157	Üldharidus	46822899	156
158	Kutseharidus	111230659	156
159	Kõrgharidus sh riiklik koolitustellimus ülikoolidele	153871275	156
160	Teadus- ja arendustegevus	138259367	156
161	Muu	246815800	156
162	Sotsiaalne kaitse	1975000000	0
163	Riigikogu liikmete palk	6907027	119
164	Peretoetused, sh vanemahüvitis	272647093	162
165	Toimetulekutoetused	30000000	162
166	Puuetega inimeste toetused	49211969	162
167	Pension	1286000000	162
168	Muu	277878556	162
169	Töötukassa	59262382	162
