120	'Agriculture	6830066	0
121	 "Agriculture and hunting"	6651704	120
122	Forestry	7278	120
123	Fishing	171084	120
125	Science	4933378	0
130	Administration	14275634	0
131	Public administration	12195090	130
132	State institution offices	2080544	130
140	Defense	22962023	0
150	Social affairs	91979719	0
151	Compulsory social insurance	75644893	150
152	Social assistance	12887934	150
153	Remaining social policy tasks	3446892	150
160	 "Public safety and fire precautions"	13050965	0
170	Justice	10438615	0
180	 "Management of public debt"	43511902	0
190	 "Various accounting"	89726963	0
200	Education and universities	14010287	0
201	Eductaion	1724050	200
202	Universities	12188553	200
203	Educational care	97684	200
205	Healthcare	6959154	0
210	Environmental protection	455688	0
211	Municipal economy and environmental protection	358446	210
212	Botanical gardens and zoos	97242	210
215	Culture and national heritage protection	1815522	0
220	Physical education	245153	0
225	Transport and communication infrastructure	8292956	0
230	Economy	5462775	0
231	Mining	520536	230
232	Industrial processing	789354	230
233	Trade	615774	230
234	Restaurants and hotels	21800	230
235	Tourism	44424	230
236	Housing	2585916	230
237	Services	688109	230
238	IT	196862	230
